"","Node","rest","target","likelihoodvaluse","k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17"
"1",1,0.001756685,0.003690037,1166.17114,1,3,1,1,6,7,7,7,7,7,7,1,1,1,1,1
"2",2,0.001905911,0.003678174,1169.854491,1,3,1,1,6,7,7,7,7,7,7,1,1,1,1,1
"3",3,0.00200272,0.003672203,1171.54271,1,3,1,1,6,7,7,7,7,7,7,1,1,1,1,1
"4",4,0.001985598,0.006256006,1170.954274,1,1,2,1,1,1,1,1,1,1,1,2,14,14,14,14
"5",5,0.002231802,0.000247813,1167.895973,1,3,3,5,5,5,5,5,5,5,11,11,11,15,15,15
"6",6,0.002068453,0.00122897,1171.247783,1,3,3,3,3,3,8,8,10,10,10,10,10,10,16,16
"7",7,0.002176624,9.587e-11,1165.638318,1,3,3,5,5,5,3,3,3,11,5,5,5,5,5,5
"8",8,0.002092044,8.68921e-09,1170.260924,1,3,3,5,5,5,3,3,3,3,3,3,3,8,8,8
"9",9,0.002005388,0.002510885,1171.663347,1,3,1,3,3,6,6,6,6,6,6,6,6,6,6,6
"10",10,0.002075782,0.00032944,1171.101567,1,3,3,5,5,5,5,5,5,5,11,11,11,15,15,15
"11",11,0.002066864,2.825e-10,1171.245898,1,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3
"12",12,0.00206498,0.001166979,1171.454387,1,3,3,3,3,3,8,8,10,10,10,10,10,10,16,16
"13",13,0.002131401,2.43412e-09,1168.65003,1,3,3,5,5,5,3,3,3,11,5,5,5,8,8,8
"14",14,0.002036982,0.001508198,1171.6457,1,3,3,3,3,3,8,8,10,10,10,10,10,10,16,10
"15",15,0.001995094,0.00330246,1171.448589,1,3,1,1,6,6,6,7,7,7,7,7,7,7,7,7
"16",16,0.002048376,1.16426e-09,1171.232134,1,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3
"17",17,0.00209652,0.000554113,1170.597544,1,3,3,5,5,5,5,5,8,8,12,12,12,12,12,12
"18",18,0.002078802,0.000590742,1170.779249,1,3,3,5,5,5,5,5,8,8,12,12,12,12,12,12
"19",19,0.002098258,7.14567e-05,1172.699254,1,3,3,5,5,5,3,3,3,3,8,8,8,11,11,11
"20",20,0.001949109,0.008502688,1169.142312,2,1,2,2,1,1,1,2,2,2,2,9,9,9,9,9
"21",21,0.002011451,0.002633196,1171.660261,1,3,1,3,3,6,6,6,6,6,6,6,6,6,6,6
"22",22,0.001970698,0.023069264,1170.858469,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"23",23,0.002035018,0.001455122,1171.653589,1,3,3,3,3,3,8,8,10,10,10,10,10,10,16,10
"24",24,0.00202582,0.002055297,1171.69872,1,3,1,3,3,3,8,6,6,6,6,6,6,6,10,17
"25",25,0.002053992,3.42308e-06,1171.544893,1,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3
"26",26,0.001980671,0.005453388,1171.494358,1,1,1,1,6,7,7,1,1,1,1,2,2,2,2,2
"27",27,0.001827019,0.010477179,1168.622107,2,1,2,2,2,2,2,9,9,9,9,13,13,13,13,13
"28",28,0.001995064,0.003590251,1171.645847,1,3,1,1,6,7,7,7,7,7,7,1,1,1,1,1
"29",29,0.001889933,0.004749777,1170.54813,1,1,1,1,6,7,7,1,1,1,1,2,2,2,2,2
"30",30,0.002048211,2.98612e-09,1171.27545,1,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3
"31",31,0.001977909,0.007766015,1171.538604,2,1,2,2,1,1,1,2,2,2,2,9,9,9,9,9
"32",32,0.001845034,0.01118044,1169.384261,2,1,2,2,2,2,2,9,9,9,9,13,13,13,13,13
"33",33,0.001911641,0.007406217,1170.375186,2,1,2,2,1,1,1,2,2,2,2,9,9,9,9,9
"34",34,0.00204598,0.002778073,1171.790347,1,3,1,3,3,6,6,6,6,6,6,6,6,6,6,6
